"","trialnum","subject","numObjects","startSpeed","direction","thresh","trackTargetNum","trackRing","timingBlips","exp","ecc","device","chanceRate"
"1",0,"JQ",2,0.5,"CCW",2.35,1,2,2,1,4.5,"CRT",0.5
"2",1,"JQ",2,0.5,"CCW",1.95,1,3,1,1,12,"CRT",0.5
"3",2,"JQ",2,2.5,"CW",2.15,1,2,1,1,4.5,"CRT",0.5
"4",3,"JQ",2,2.5,"CW",2.15,1,3,1,1,12,"CRT",0.5
"5",4,"JQ",2,0.5,"CW",2,1,3,1,1,12,"CRT",0.5
"6",5,"JQ",2,0.5,"CW",2.05,1,2,1,1,4.5,"CRT",0.5
"7",6,"JQ",2,2.5,"CCW",2,1,3,1,1,12,"CRT",0.5
"8",7,"JQ",2,2.5,"CCW",2.3,1,2,1,1,4.5,"CRT",0.5
"9",8,"JQ",3,0.5,"CCW",1.65,1,2,1,1,4.5,"CRT",0.333333333333333
"10",9,"JQ",3,0.5,"CCW",1.65,1,3,1,1,12,"CRT",0.333333333333333
"11",10,"JQ",3,2.5,"CW",1.8,1,2,1,1,4.5,"CRT",0.333333333333333
"12",11,"JQ",3,2.5,"CW",1.75,1,3,1,1,12,"CRT",0.333333333333333
"13",12,"JQ",3,0.5,"CW",1.6,1,3,2,1,12,"CRT",0.333333333333333
"14",13,"JQ",3,0.5,"CW",1.6,1,2,1,1,4.5,"CRT",0.333333333333333
"15",14,"JQ",3,2.5,"CCW",1.6,1,3,1,1,12,"CRT",0.333333333333333
"16",15,"JQ",3,2.5,"CCW",1.8,1,2,1,1,4.5,"CRT",0.333333333333333
"17",0,"QJ",2,0.5,"CCW",1.5,1,2,2,1,4.5,"CRT",0.5
"18",1,"QJ",2,0.5,"CCW",1.7,1,3,1,1,12,"CRT",0.5
"19",2,"QJ",2,2.5,"CW",1.9,1,2,1,1,4.5,"CRT",0.5
"20",3,"QJ",2,2.5,"CW",1.7,1,3,1,1,12,"CRT",0.5
"21",4,"QJ",2,0.5,"CW",1.6,1,3,1,1,12,"CRT",0.5
"22",5,"QJ",2,0.5,"CW",1.85,1,2,1,1,4.5,"CRT",0.5
"23",6,"QJ",2,2.5,"CCW",1.5,1,3,1,1,12,"CRT",0.5
"24",7,"QJ",2,2.5,"CCW",1.6,1,2,1,1,4.5,"CRT",0.5
"25",8,"QJ",3,0.5,"CCW",1.25,1,2,1,1,4.5,"CRT",0.333333333333333
"26",9,"QJ",3,0.5,"CCW",1.25,1,3,1,1,12,"CRT",0.333333333333333
"27",10,"QJ",3,2.5,"CW",1.4,1,2,1,1,4.5,"CRT",0.333333333333333
"28",11,"QJ",3,2.5,"CW",1.35,1,3,1,1,12,"CRT",0.333333333333333
"29",12,"QJ",3,0.5,"CW",1.25,1,3,1,1,12,"CRT",0.333333333333333
"30",13,"QJ",3,0.5,"CW",1.5,1,2,1,1,4.5,"CRT",0.333333333333333
"31",14,"QJ",3,2.5,"CCW",1.4,1,3,1,1,12,"CRT",0.333333333333333
"32",15,"QJ",3,2.5,"CCW",1.35,1,2,1,1,4.5,"CRT",0.333333333333333
"33",0,"VJ",3,0.5,"CCW",1.8,1,2,2,1,4.5,"CRT",0.333333333333333
"34",1,"VJ",3,0.5,"CCW",1.7,1,3,1,1,12,"CRT",0.333333333333333
"35",2,"VJ",3,2.5,"CW",1.8,1,2,1,1,4.5,"CRT",0.333333333333333
"36",3,"VJ",3,2.5,"CW",1.95,1,3,1,1,12,"CRT",0.333333333333333
"37",4,"VJ",3,0.5,"CW",1.8,1,3,1,1,12,"CRT",0.333333333333333
"38",5,"VJ",3,0.5,"CW",1.6,1,2,1,1,4.5,"CRT",0.333333333333333
"39",6,"VJ",3,2.5,"CCW",1.85,1,3,1,1,12,"CRT",0.333333333333333
"40",7,"VJ",3,2.5,"CCW",1.8,1,2,1,1,4.5,"CRT",0.333333333333333
"41",8,"VJ",2,0.5,"CCW",2.05,1,2,1,1,4.5,"CRT",0.5
"42",9,"VJ",2,0.5,"CCW",1.9,1,3,1,1,12,"CRT",0.5
"43",10,"VJ",2,2.5,"CW",1.95,1,2,1,1,4.5,"CRT",0.5
"44",11,"VJ",2,2.5,"CW",2.1,1,3,1,1,12,"CRT",0.5
"45",12,"VJ",2,0.5,"CW",1.95,1,3,1,1,12,"CRT",0.5
"46",13,"VJ",2,0.5,"CW",1.95,1,2,1,1,4.5,"CRT",0.5
"47",14,"VJ",2,2.5,"CCW",2.05,1,3,1,1,12,"CRT",0.5
