"","trialnum","subject","numObjects","speed","direction","condition","leftOrRight","offsetXYring0","orderCorrect","trialDurTotal","numTargets","whichIsTarget0","ringToQuery","Direction0","respAdj0","rev0_0","rev0_1","rev0_2","rev0_3","rev0_4","rev0_5","rev0_6","rev0_7","rev0_8","timingBlips","exp","file","trial","outOfCentralArea","maxXdev","blinks","meanX","maxYdev","meanY","RECORDING_SESSION_LABEL","CURRENT_FIX_BLINK_AROUND","CURRENT_FIX_X","CURRENT_FIX_Y","TRIAL_INDEX","TRIAL_LABEL","basicShape","initialDirRing0","whichIsTarget1","Direction1","respAdj1","rev1_0","rev1_1","rev1_2","rev1_3","rev1_4","rev1_5","rev1_6","rev1_7","rev1_8","correct","chanceRate"
"2",1,"JQ",2,2.2,-1,0,1,"[0, 0]",3,4.84296094444,1,0,0,1,0,2.1929,2.754,3.7273,4.268,5.1998,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"3",2,"JQ",2,2.1,-1,1,0,"[-5, 0]",3,4.49239623178,1,1,0,-1,0,2.0546,3.392,4.5784,6.0591,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"4",3,"JQ",2,2.2,1,2,0,"[-10, 0]",0,4.5848682007,1,0,0,1,-1,1.8451,2.8651,3.5246,4.7965,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"5",4,"JQ",2,2.1,-1,1,1,"[5, 0]",3,4.84320272036,1,1,0,-1,0,2.1085,3.2968,4.4052,5.8961,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"6",5,"JQ",2,2.1,-1,2,0,"[-10, 0]",0,4.97379280951,1,1,0,-1,1,2.0777,2.6722,3.8891,5.274,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"7",6,"JQ",2,1.65,1,2,1,"[10, 0]",3,4.78971817304,1,0,0,-1,0,1.8896,2.9196,4.3745,5.3184,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"8",7,"JQ",2,2.1,1,0,1,"[0, 0]",3,4.66559590421,1,1,0,1,0,2.2348,3.0665,4.2654,5.4985,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"9",8,"JQ",2,2.2,1,1,0,"[-5, 0]",0,5.06017058477,1,0,0,1,1,2.2145,2.977,3.8384,4.6714,5.8718,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"10",9,"JQ",2,2.2,1,1,1,"[5, 0]",3,4.67073480956,1,0,0,-1,0,2.0165,2.8472,3.9753,5.1825,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"11",10,"JQ",2,1.65,-1,2,0,"[-10, 0]",3,4.64043161161,1,0,0,1,0,1.7489,2.9381,4.3938,5.0725,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"12",11,"JQ",2,1.65,-1,0,1,"[0, 0]",0,4.49621639034,1,0,0,1,1,2.3187,2.8519,4.2534,5.4209,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"13",12,"JQ",2,1.65,-1,2,1,"[10, 0]",3,4.82161510964,1,0,0,-1,0,1.6514,2.5777,3.805,4.6823,5.9491,-999,-999,-999,-999,3,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"14",13,"JQ",2,1.65,1,0,0,"[0, 0]",3,4.47463000368,1,0,0,1,0,2.0198,3.4915,4.8,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"15",14,"JQ",2,2.1,1,2,1,"[10, 0]",3,4.95973777627,1,1,0,1,0,2.4718,3.5971,4.9703,5.7675,-999,-999,-999,-999,-999,3,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"16",15,"JQ",2,2.2,1,0,0,"[0, 0]",0,4.96274620096,1,0,0,1,-1,1.9871,3.0465,3.8719,5.0149,6.1309,-999,-999,-999,-999,4,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"17",16,"JQ",2,2.2,-1,1,0,"[-5, 0]",3,4.32605965561,1,0,0,-1,0,2.0759,3.4298,4.2844,5.1624,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
