"Trial"	"meanPosition"	"maxDeviation"	"eyeOutOfFixationArea"	"blink"
1	403.8	3.80000000000001	0	0
2	400.85	1.69999999999999	0	1
3	397.6	-6.69999999999999	1	1
4	398.9	-1.10000000000002	0	0
5	396.05	-7.10000000000002	1	1
6	405.233333333333	6.30000000000001	1	1
7	388.6	-11.4	1	0
8	401.9	5.39999999999998	1	1
9	401.15	2.89999999999998	0	1
10	402.85	5.30000000000001	1	1
11	398.8	-1.19999999999999	0	0
12	394.75	-6.5	1	1
13	401.2	2.19999999999999	0	0
14	395.9	-4.10000000000002	0	0
15	403.9	3.89999999999998	0	0
16	396.7	-3.30000000000001	0	0
17	399.3	-0.699999999999989	0	0
18	394.9	-5.10000000000002	1	0
19	397.7	-2.30000000000001	0	0
20	401.2	1.19999999999999	0	0
21	395.05	-10.7	1	0
22	394.3	-5.69999999999999	1	0
23	396.1	-3.89999999999998	0	0
24	401.25	1.60000000000002	0	1
25	402	2	0	0
26	400.9	0.899999999999977	0	0
27	400.5	0.5	0	0
28	397.5	-2.5	0	0
29	402.5	2.5	0	0
30	397.5	-2.5	0	0
31	398.6	-1.39999999999998	0	0
32	397.9	-2.10000000000002	0	0
33	396.8	-3.19999999999999	0	0
34	395	-5	1	0
35	396.6	-3.39999999999998	0	0
36	396.5	-3.5	0	0
37	405.35	9.80000000000001	1	1
38	399.6	-0.399999999999977	0	0
39	397.5	-4	0	1
40	389.4	-10.6	1	0
41	396.8	-3.19999999999999	0	0
42	392.6	-7.39999999999998	1	0
43	389.1	-10.9	1	0
44	382.7	-17.3	1	0
45	392.7	-7.30000000000001	1	0
46	395.3	-4.69999999999999	1	0
47	403.2	3.19999999999999	0	0
48	397.2	-2.80000000000001	0	0
49	391.3	-8.69999999999999	1	0
50	397.1	-2.89999999999998	0	0
51	397.1	-2.89999999999998	0	0
52	398.4	-1.60000000000002	0	0
53	396.5	-3.5	0	0
54	398.8	-1.19999999999999	0	0
55	394.3	-5.69999999999999	1	0
56	399.2	-0.800000000000011	0	0
57	396.7	-3.30000000000001	0	0
58	399.8	-0.199999999999989	0	0
59	396.3	-3.69999999999999	0	0
60	399	-1	0	0
61	393.3	-6.69999999999999	1	0
62	394.9	-5.10000000000002	1	0
63	400.5	0.5	0	0
64	398.2	-1.80000000000001	0	0
65	400.9	0.899999999999977	0	0
66	401.6	1.60000000000002	0	0
67	404.5	10.7	1	1
68	409.2	15.7	1	0
69	403	3	0	0
70	401.5	1.5	0	0
71	405.2	5.19999999999999	1	0
72	398.1	-1.89999999999998	0	0
73	395.9	-4.10000000000002	0	0
74	398.8	-1.19999999999999	0	0
75	403.1	3.10000000000002	0	0
76	400.3	0.300000000000011	0	0
77	392.2	-7.80000000000001	1	0
78	397.3	-2.69999999999999	0	0
79	402	2	0	0
80	396.1	-3.89999999999998	0	0
81	399.7	-0.300000000000011	0	0
82	400.7	0.699999999999989	0	0
83	398.9	-1.10000000000002	0	0
84	401.6	5.60000000000002	1	0
85	398.5	-1.5	0	0
86	403.5	3.5	0	0
87	395.1	-4.89999999999998	1	0
88	397	-3	0	0
89	387.9	-12.1	1	0
90	395.8	-4.19999999999999	1	0
91	400.5	0.5	0	0
92	396.4	-3.60000000000002	0	0
93	392	-8	1	0
94	398.5	-3.19999999999999	0	1
95	396.8	-3.19999999999999	0	0
96	391.3	-8.69999999999999	1	0
97	405.3	5.30000000000001	1	0
